asin,url,title,price,old_price,discount,stock,reviews_count,min_age,max_age,weight_grams,short_description,toy_type,€/g,age_span,avg_age,price_review_ratio,value_for_money,price_per_year,reviews_density,price_outlier_by_type,€/g_outlier_global,reviews_outlier_global,price_bucket,bucket_order,flag_emotional_triggers,flag_montessori,flag_eco
B0DMW9MBSM,https://www.amazon.de/Fisher-Price-JGG97-Anniversary-Children-Toddlers/dp/B0DMW9MBSM?ref_=ast_sto_dp,Mattel JGG97 Baby Toy Red Chatter Phone 80th Anniversary Edition Toy for Children and Toddlers from 1 Year,"€15,99","€16,74",4%,8,24,"1,00","7,00",400,"Celebrate Mattel's 80th anniversary with this classic Fisher-Price babbler phone in iconic red mattel look
Grows with your baby. From playing while sitting to pulling behind as soon as the child can walk
With the dial, children learn the numbers from 0-9, funny phone bell sounds sound when turning!
The eyes of the phone move up and down when children pull the toy behind them and motivates them to move
This toy promotes gross motor skills, sensory skills and early role play in children and toddlers from 1 year old",baby,"€0,04","6,00","3,00","€0,67","1,50","€2,67",4,0,0,0,10-20 €,999,1,1,0
B0BXLW6CN9,https://www.amazon.de/Fisher-Price-HJP90-Interactive-Learning-Suspension/dp/B0BXLW6CN9?ref_=ast_sto_dp&th=1&psc=1,"DJ Hüpfi HJP90 Interactive Learning Toy for Dance, Move and Bounce with Music and Suspension Version Dutch English French German Italian","€39,18","€49,99",22%,,19,"0,75","3,00",1300,"Interactive educational toy with music and suspension on the bottom for motorised bouncing fun
Three Smart Stages learning levels guide the child to the ABC, colours, counting from 1 to 10 and opposites. Press the globe button to select the desired language: Dutch, French, German, Italian or English
By pressing the buttons for music and learning fun, more than 75 melodies, sounds and phrases are played, colourful lights or bouncing fun are activated
By pressing the microphone button, a recording can be started and played with fun filters
Educational toy for babies and toddlers between 9 and 36 months to dance, move and bounce",baby,"€0,03","2,25","1,13","€2,06","0,49","€17,41","8,444",0,0,0,30-40 €,999,1,1,1
B0CXTQWQWM,https://www.amazon.de/Fisher-Price-Pull-Along-Movement-Children-HTW94/dp/B0CXTQWQWM?ref_=ast_sto_dp,"Baby & Toddler Pull-Along Toy FP Pets Walking with Puppy with Movement and Sounds for Children from 12 Months, HTW94","€10,99","€14,99",27%,,136,"1,00","7,00",,"Cute puppy pull-along toy with movement and sounds for toddler-friendly play
The ears wobble, the legs move and the puppy barks when pulled on the lead
The pull-along toy stimulates running and promotes gross motor skills
In combination with other Fisher-Price FP Pets toys, animal fun comes into the house. (All items sold separately.)
Great gift for dog loving babies and toddlers aged 12 months and up",baby,"€31,40","6,00","3,00","€0,08","12,38","€1,83","22,667",0,1,0,10-20 €,999,1,1,0
B0CB6KD78D,https://www.amazon.de/Fisher-Price-Experiences-Activities-Newborns-HRB17/dp/B0CB6KD78D?ref_=ast_sto_dp&th=1&psc=1,"Baby Sensory Experiences Gift Set with Fine Motor Activities for Newborns, 4 Pieces, HRB17","€15,72","€19,99",21%,,241,"1,00","1,00",227,"Set of 4 baby toys that encourage sensory development of newborns; gift sized packaging is ideal for baby showers
The BPA-free bunny teether has textured ears and a removable bell ball for even more fine motor fun
The plush axolotl provides an acoustic reward and a play with cause and effect with gentle ringing
The versatile textured moth rattle and the crinkle cloth can be easily attached to the play arch, changing bag or pram and are suitable for playing on the go with their practical loops
Promotes fine motor skills and sensory development in babies from birth",sustainable,"€0,07",0,"0,00","€0,07","15,33",,241,0,0,0,10-20 €,999,1,1,0
B0CB6LSPQB,https://www.amazon.de/Fisher-Price-Cuddling-Washable-Promotes-HRB16/dp/B0CB6LSPQB?ref_=ast_sto_dp,"Cuddly Goose Soft Plush Goose for Cuddling and Ideal for On the Go Washable Promotes Touch and Hearing Sense, Fine Motor Skills and Sensory Skills for Newborns HRB16","€12,99",,,,604,,,60,"This soft plush goose is a cuddly companion that helps create a safe atmosphere for the baby
The sense of touch and hearing is stimulated when the baby touches the wings with the different textures, and a ringing sound is heard by shaking
The cuddly goose is suitable for taking with you due to its size
The plush toy can be washed in the washing machine
Helps develop baby's fine motor skills and sensory skills from birth",sustainable,"€0,20",0,"0,00","€0,02","46,50",,604,0,1,0,10-20 €,999,1,1,1
B0D7PVNTGW,https://www.amazon.de/HYR55-Fisher-Price-Toy/dp/B0D7PVNTGW?ref_=ast_sto_dp,Toy HYR55,"€21,24","€24,99",15%,,51,"0,00",,200,"Coming soon HYR55 items
Fisher-Price HYR55
Fisher-Price",sustainable,"€0,10",0,"0,00","€0,42","2,40",,51,0,0,0,20-30 €,999,0,0,0
B0CB6LZ6NS,https://www.amazon.de/FISHER-PRICE-Recycled-Certified-Packaging-HKD62/dp/B0CB6LZ6NS?ref_=ast_sto_dp&th=1&psc=1,"Flotte Turtle Plush Pram Toy with Spring Motion and Rattle Sounds, 80% Recycled Fabric and BPA-Free Teething Ring, in FSC Certified Packaging, HKD62","€9,75","€12,99",25%,,136,"1,00","1,00",141,"Turtle pram toy made of plush to take with you, with spring movement and rattle sounds that delight baby while playing
Fabric with different colours and textures made from 80% post-consumer recycled plastic
BPA-free teether with vegetable raw materials (at least 20% organic material)
Toy attachment ring: 95% ISCC certified plastic (mass balance approach)
Comes in FSC certified packaging made from materials that support responsible forestry
Smilestones: Master every milestone with a smile! This toy encourages sensory development with fun textures, bright colours and jingling sounds that appeal to your baby's tactile, visual and auditory senses.",sustainable,"€0,07",0,"0,00","€0,07","13,95",,136,0,0,0,<10 €,999,1,0,1
B0CB6HQLXQ,https://www.amazon.de/Fisher-Price-Giant-Ear-Elephant-Certified/dp/B0CB6HQLXQ?ref_=ast_sto_dp&th=1&psc=1,"Giant Ear Elephant - Charming Soft Plush Toy with Extra Large Ears, Made from 90% Recycled Plastic and FSC Certified Packaging, for Babies from 3 Months, HKD63","€9,55","€12,99",26%,,133,"0,25","3,00",31,"Adorable soft elephant plush toy that helps to give baby a sense of security
The fabric is made from 90% post-consumer recycled plastic and comes in FSC certified packaging (FSC C172210, 2021)
Soft, extra large satin ears and vest that encourage sensory play
Machine washable toy with perfect size for use at home or on the go
Promotes sensory skills and fine motor skills of babies from 3 months
Smilestones: Master every milestone with a smile! This toy promotes sensory development with interesting structures and bright colours to stimulate baby's sense of touch and vision",sustainable,"€0,31","2,75","1,38","€0,07","13,93","€3,47","48,364",0,1,0,<10 €,999,1,1,0
B0CB6HYW3D,https://www.amazon.de/FISHER-PRICE-Rolli-Roll-Panda-Play-High-Contrast/dp/B0CB6HYW3D?ref_=ast_sto_dp&th=1&psc=1,"Rolli-Roll Panda Play Mat - Large 3-in-1 Takeaway Play Mat, High-Contrast Pattern, Crinkle Toy and Mirror, 90% Recycled, FSC Certified Packaging HKD65","€23,99","€29,99",20%,,147,"1,00","1,00",277,"Large 3-in-1 Panda Play Mat to take with you in your back or prone position
The fabric is made from 90% post-consumer recycled plastic and comes in FSC certified packaging (FSC C172210, 2021)
Toy attachment ring: 95% ISCC certified plastic (mass balance approach)
Features a contrasting pattern to play in the prone position, attachable crinkle toy and mirror to discover yourself, for stimulating sensory play
Mat can be easily and safely rolled up when you're on the go; machine washable without toys",sustainable,"€0,09",0,"0,00","€0,16","6,13",,147,0,0,0,20-30 €,999,1,0,1
B0D7PV9TS9,https://www.amazon.de/Fisher-Price-Friends-Sensory-Newborns-HYR56/dp/B0D7PV9TS9?ref_=ast_sto_dp,Baby Toy Planet Friends 2-in-1 Rattle Bee Sensory Plush Toy as a Two Piece Set for Newborns from 3 Months HYR56,"€8,76","€11,99",27%,,11,"0,25","0,25",27,"Set of two plush baby rattles with sensory details that engage and delight the developing visual, tactile and auditory senses of newborns
The fabric is made from 74.98% post-consumer recycled plastic and comes in packaging made from FSC certified paper (FSC C172210, 2021)
2-in-1 The bee can be attached to the flower with Velcro and transformed into a fun baby toy
The easy to grip flower rattle and ringing bee are just the right size for little hands to grab and shake it
Promotes sensory development and strengthens the fine motor skills of infants from 3 months",sustainable,"€0,32",0,"0,00","€0,80","1,26",,11,0,1,0,<10 €,999,1,1,0
